sid,clusterLabel,scaleLabel,shapeLabel,locationLabel,centroidX,centroidY,minX,minY,maxX,maxY,w,h,A
20010:200271,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,354.673332,136.786093,349.217760,133.147720,361.030940,139.770710,11.813180,6.622990,78.238573
20010:200280,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,308.833094,236.507342,301.623300,228.221920,316.566250,247.974270,14.942950,19.752350,295.158378
20010:200298,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,311.656790,225.061395,301.507890,209.305770,322.955070,241.697740,21.447180,32.391970,694.716411
20010:200301,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,124.102040,-17.265324,-179.941160,-26.625570,179.947450,-8.328750,359.888610,18.296820,6584.817117
20010:200310,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,293.248273,164.478250,282.571200,155.194290,302.104490,177.127630,19.533290,21.933340,428.430291
20010:200328,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,336.225130,145.459890,324.989170,138.563360,344.992850,153.749220,20.003680,15.185860,303.773084
20010:200336,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,278.024754,159.904955,266.312440,146.766350,287.407780,170.486410,21.095340,23.720060,500.382731
20010:200344,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,291.797939,205.855125,282.098350,198.091470,302.111850,213.755620,20.013500,15.664150,313.494466
20010:200352,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,340.215043,157.167966,335.721090,152.790230,343.857410,161.102640,8.136320,8.312410,67.632428
20010:200379,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,303.193862,162.038338,297.644950,153.873700,310.888370,170.015370,13.243420,16.141670,213.770915
20010:200387,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,306.942391,174.622220,300.664070,167.482810,314.398650,181.344690,13.734580,13.861880,190.387100
20010:200395,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,307.289353,128.822602,293.433070,115.677340,323.912950,145.073600,30.479880,29.396260,895.994477
20010:200409,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,361.144630,177.698956,352.947430,171.224810,367.649230,183.388120,14.701800,12.163310,178.822551
20010:200417,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,343.368515,126.115436,339.332780,117.843460,346.335390,132.548700,7.002610,14.705240,102.975061
20010:200425,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,364.547709,144.517193,358.979200,136.885320,370.060700,152.547220,11.081500,15.661900,173.557345
20010:200433,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,332.901138,152.140514,326.322160,147.716510,338.986440,156.154470,12.664280,8.437960,106.860688
20010:200441,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,296.476952,189.329317,290.533770,177.845460,303.201330,199.907330,12.667560,22.061870,279.470062
20010:200450,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,293.622920,133.376534,288.612270,125.197330,299.101400,142.062330,10.489130,16.865000,176.899177
20010:200468,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,347.969079,130.963087,344.271780,123.634450,351.993870,137.967830,7.722090,14.333380,110.683650
20010:200476,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,337.942487,189.568568,325.600220,174.099580,355.118160,202.566990,29.517940,28.467410,840.299300
20010:200484,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,297.523467,144.962967,290.779000,135.790700,306.202480,153.034180,15.423480,17.243480,265.954469
20010:200492,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,267.084042,154.089356,256.076980,144.108880,279.086190,167.009380,23.009210,22.900500,526.922414
20010:200506,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,304.075276,222.085963,296.093040,209.778720,311.279930,230.263790,15.186890,20.485070,311.104505
20010:200514,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,300.440773,174.577272,295.357960,168.339210,304.759450,180.020590,9.401490,11.681380,109.822377
20010:200522,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,347.800365,143.496834,342.466180,138.926430,353.794550,147.254520,11.328370,8.328090,94.343685
20010:200549,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,335.920872,100.529743,319.690120,88.328602,349.587550,114.831210,29.897430,26.502608,792.359867
20010:200557,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,302.626768,194.516141,296.087190,185.439860,309.820550,204.840850,13.733360,19.400990,266.440780
20010:200565,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,306.913486,108.227849,295.478960,93.738942,314.410750,119.649320,18.931790,25.910378,490.529835
20010:200573,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,284.299993,187.876432,270.183830,176.525360,296.195360,199.909990,26.011530,23.384630,608.270005
20010:200581,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,350.020425,138.593471,344.272720,136.048840,354.234300,142.304980,9.961580,6.256140,62.321039
20010:200590,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,307.502646,184.095401,300.534100,180.136510,314.150760,188.325060,13.616660,8.188550,111.500701
20028:200603,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,538.510284,718.669836,534.289380,716.476140,543.588860,721.643070,9.299480,5.166930,48.049762
20028:200611,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,586.943753,727.939430,584.953820,722.081800,589.463360,732.370260,4.509540,10.288460,46.396222
20028:200620,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,555.536245,741.806913,543.813110,733.760320,566.458370,749.715380,22.645260,15.955060,361.306482
20028:200638,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,534.373213,700.476588,528.264890,695.735700,538.189800,707.523820,9.924910,11.788120,116.996030
20028:200646,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,540.034301,754.405063,537.186250,747.925040,543.567030,760.917970,6.380780,12.992930,82.905028
20028:200654,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,555.928823,707.540464,541.390260,697.411900,571.167400,717.188490,29.777140,19.776590,588.890289
20028:200662,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,556.817545,733.532998,550.007330,729.709140,562.507710,736.326220,12.500380,6.617080,82.716014
20028:200689,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,597.493402,730.191757,588.277360,721.504630,608.769560,737.298130,20.492200,15.793500,323.643561
20028:200697,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,531.724357,709.358570,528.265020,702.833260,533.814080,713.209710,5.549060,10.376450,57.579544
20028:200719,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,558.282724,723.921378,541.399250,711.988770,572.487710,733.442140,31.088460,21.453370,666.952235
20028:200727,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,538.003515,709.519144,532.126760,701.944940,543.698210,718.138140,11.571450,16.193200,187.378804
20028:200735,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,575.681281,722.140925,563.210490,715.127100,586.402160,728.026130,23.191670,12.899030,299.150047
20028:200743,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,576.584241,726.340072,567.823700,722.339040,585.604010,730.684370,17.780310,8.345330,148.382554
20028:200751,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,549.943605,748.855115,538.918100,739.689460,561.052980,758.505450,22.134880,18.815990,416.489681
20028:200760,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,571.454495,736.332281,561.170930,729.475170,581.093520,745.617140,19.922590,16.141970,321.589850
20028:200778,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,592.584894,737.340545,584.897620,731.269730,598.758790,744.045360,13.861170,12.775630,177.085179
